Category,Message
ham,"Hey, are we still meeting for lunch today at 1 PM?"
ham,"Can you send me the report by the end of the day?"
ham,"Yeah, that sounds good. Let's catch up later."
ham,"Sorry, I'm running a bit late for the meeting."
ham,"Don't forget to buy milk on your way home."
ham,"Are you free this weekend? We should hang out."
ham,"Just wanted to check if you got my email yesterday."
ham,"Let's discuss the project details tomorrow morning."
ham,"Thanks for the help, I really appreciate it."
ham,"I'll be there in 10 minutes. See you soon!"
ham,"The lecture starts at 9:00 AM, don't be late."
ham,"Can you call me when you get a chance?"
ham,"Hope you have a great day!"
ham,"I am working on the presentation right now."
ham,"Yes, I will bring the documents with me."
ham,"Did you watch the game last night? It was amazing!"
ham,"No problem, let know if you need anything else."
ham,"Perfect, see you then!"
ham,"How was your trip? Hope you had fun."
ham,"Please let me know if this works for you."
spam,"CONGRATULATIONS! You have won a free $1,000 gift card! Claim it now at our website."
spam,"URGENT: Your bank account has been suspended. Click here to verify your identity."
spam,"Get cheap medications online. Viagra and Cialis available without prescription."
spam,"Make $5,000 a week working from home! No experience required. Apply today!"
spam,"You've been selected for a free cruise vacation! Call now to book your trip."
spam,"WINNER! You have won a brand new iPhone 15. Click the link to claim your prize."
spam,"Hot single women in your area want to meet you! Sign up for free now."
spam,"Guaranteed credit card approval! Low rates, no credit check required."
spam,"Final warning: Your insurance policy is about to expire. Call now to renew."
spam,"Double your salary in just 2 weeks! High returns guaranteed, join our scheme."
spam,"Get 80% off on luxury watches and designer bags. Limited time offer!"
spam,"Congratulations, you won a free cash prize! Text WIN to 55512 to claim."
spam,"Urgent security alert: Someone accessed your account from a new device. Reset now."
spam,"Lose weight fast with our new revolutionary diet pills! Order now for discount."
spam,"Your package delivery is pending. Please update your details online."
